Feature 1,Feature 2,Correlation
V5_r_amplitude,V6_r_amplitude,0.727082253088222
II_shannon_entropy,aVL_shannon_entropy,0.7267571474113106
aVF_heart_rate,V1_heart_rate,0.7263285459957805
V3_shannon_entropy,V2_signal_complexity,0.7262020205577413
I_shannon_entropy,V5_shannon_entropy,0.7258788196535816
II_signal_complexity,V5_signal_complexity,0.7253237116944243
III_signal_complexity,aVF_signal_complexity,0.7251178427260585
aVR_shannon_entropy,V1_shannon_entropy,0.7244279339937612
III_skewness,aVL_skewness,0.7233511337450277
I_signal_complexity,aVL_shannon_entropy,0.7222272700814646
aVF_heart_rate,V2_heart_rate,0.7221125426742299
I_t_amplitude,aVL_t_amplitude,0.7212624680847498
aVF_heart_rate,V6_heart_rate,0.7204679825588662
V1_signal_complexity,V2_signal_complexity,0.7198287852988478
aVF_heart_rate,V4_heart_rate,0.7194591065684223
V6_signal_complexity,V4_signal_complexity,0.7194578238394951
aVR_signal_complexity,aVF_signal_complexity,0.7187457406333617
II_shannon_entropy,V4_shannon_entropy,0.7162687763857939
III_heart_rate,V6_heart_rate,0.7159767915187176
III_t_amplitude,aVF_t_amplitude,0.7143419568909971
V1_shannon_entropy,V2_shannon_entropy,0.7141906838742749
III_heart_rate,aVR_heart_rate,0.7140366445036389
V2_zero_crossings,V5_zero_crossings,0.7126641515894735
I_zero_crossings,V3_zero_crossings,0.7124461540324928
V2_zero_crossings,V6_zero_crossings,0.7122396942541538
V5_r_amplitude,V4_r_amplitude,0.7121967147587975
V6_skewness,V6_kurtosis,0.7117782137473027
aVL_zero_crossings,V3_zero_crossings,0.7116029877818454
II_shannon_entropy,aVF_signal_complexity,0.7114213161289671
III_qrs_duration,V6_qrs_duration,0.7108526028975587
V1_qrs_duration,V1_qrs_duration_var,0.7091148861023537
V2_shannon_entropy,V4_shannon_entropy,0.7079914100905627
aVR_shannon_entropy,V4_shannon_entropy,0.7067981521317986
V1_skewness,V1_kurtosis,0.7064958673045242
III_zero_crossings,V2_zero_crossings,0.7063170969375818
aVR_zero_crossings,V3_zero_crossings,0.704643446149769
III_signal_complexity,aVL_shannon_entropy,0.7044748476784688
II_shannon_entropy,V3_shannon_entropy,0.7044417772583274
I_shannon_entropy,aVL_signal_complexity,0.7037423965830221
V5_signal_complexity,V6_shannon_entropy,0.7015394878600637
przewlekła choroba niedokrwienna serca,stan po przebyciu zawału serca,0.7006455104348613
V3_signal_complexity,V4_shannon_entropy,0.7005356129469414
aVR_shannon_entropy,V3_shannon_entropy,0.700367982124261
