,LogisticRegressionModel,LogisticRegressionModel_SHAP,RandomForestModel,RandomForestModel_SHAP,SVMModel,SVMModel_SHAP,GradientBoostingModel,GradientBoostingModel_SHAP,XGBoostModel,XGBoostModel_SHAP,CatBoostModel,CatBoostModel_SHAP,ANOVA_F,MutualInfo,LogisticRegressionModel_rank,LogisticRegressionModel_SHAP_rank,RandomForestModel_rank,RandomForestModel_SHAP_rank,SVMModel_rank,SVMModel_SHAP_rank,GradientBoostingModel_rank,GradientBoostingModel_SHAP_rank,XGBoostModel_rank,XGBoostModel_SHAP_rank,CatBoostModel_rank,CatBoostModel_SHAP_rank,ANOVA_F_rank,MutualInfo_rank,mean_rank
aVL_skewness,0.11896152508351725,0.0040897624422772776,0.004733168685033252,0.0,0.0,0.0007432047758388234,0.00618900945268896,0.004868917382370935,0.003365943,0.00013226125156917123,0.31497709212222375,0.0,2.3298929994840956,0.026449755011217935,27.0,27.0,59.0,220.0,183.5,86.0,34.0,29.0,105.0,83.0,83.0,226.5,99.0,64.0,94.71428571428571
pCO2 (1. gaz. 1 TISS),0.18712545408785966,0.006368634400262184,0.008853371138959319,0.0008074811258558172,0.0,0.0006956136312119274,0.004593688494756566,0.0057219918326694204,0.0025034219,0.007206990980914829,0.3566919087486773,0.0,2.982182858110286,0.0,4.0,9.0,22.0,39.0,183.5,93.0,72.0,16.0,238.0,11.0,63.0,226.5,81.0,275.5,95.25
V3_kurtosis,0.07407700891933923,0.004486747510926301,0.0024469607795888177,0.00036200502878647547,0.0,0.0026188064376931872,0.00495590953873794,0.006864369985087369,0.0027467434,0.0,0.37325968739656123,0.0014900715427619443,5.34448692809322,0.0,95.0,23.0,130.0,63.0,183.5,12.0,60.0,13.0,198.0,218.5,57.0,33.0,49.0,275.5,100.75
GLASGOW.1,0.08814354392345718,9.782142818079826e-05,0.0040287934281351915,0.0005558450689915894,0.0,0.0,0.0045988718519531695,0.0036003418349751662,0.0028112268,0.0011616533256517464,0.5379289737880689,0.0034655530314521552,2.7754545821212013,0.003785454853538095,75.5,124.0,69.0,52.0,183.5,257.0,71.0,37.0,193.0,55.0,25.0,13.0,87.5,176.0,101.32142857142857
aVR_p_amplitude,0.08768668133367565,0.002550126890590497,0.007335436435486885,0.0,0.0,0.0009390987303629136,0.002558243896966101,0.005036549298688351,0.002853611,0.006845878322927573,0.4213999206340465,0.002642682690922791,2.907961159756006,0.0,77.0,46.0,28.0,220.0,183.5,69.0,147.0,26.0,185.0,14.0,42.0,23.0,84.0,275.5,101.42857142857143
V6_skewness,0.018376118860348872,0.0,0.015622976332052256,0.0020542268299863545,0.0,0.0002665811522326498,0.008700717819781609,0.004474426404758121,0.002887713,0.0008015460180417044,0.4686979855826779,0.0013144003776490443,3.6386052053601494,0.006283998963776849,277.0,239.0,7.0,13.0,183.5,150.0,14.0,30.0,178.0,62.0,34.0,42.0,69.0,155.0,103.82142857142857
V1_p_amplitude,0.14223541203006815,0.003533480458409378,2.77408805775187e-05,0.0,0.0,0.0007363765103531501,0.003699101013100732,0.0019036528742209801,0.003799968,0.0012479431644014012,0.39356686945168495,0.0013273764992484409,5.483112109834601,0.0,12.0,30.0,255.0,220.0,183.5,87.0,98.0,69.0,53.0,53.0,48.0,40.0,46.0,275.5,105.0
III_skewness,0.07363728223481647,0.0014000144765036553,0.0103688596084889,0.001425279486941,0.0,0.00018159593070767442,0.004113293285288632,0.0009932715810248534,0.002702257,0.0013953527554204416,0.41353814011811,0.0004011872252247232,2.298978797102729,0.0,97.0,74.0,17.0,23.0,183.5,158.0,88.0,84.0,208.0,48.0,43.0,83.0,101.0,275.5,105.92857142857143
V3_signal_complexity,0.07634385946826229,0.002252130445097031,0.006495896881768953,0.0008668012892576518,0.0,0.001400133426636203,0.002442715082555736,0.0,0.0035455893,0.0,0.36662732326156955,0.0012626639054725002,2.2980878902624373,0.0036736347383981016,92.0,53.0,35.0,36.0,183.5,34.0,154.0,232.5,88.0,218.5,60.0,44.0,102.0,177.0,107.82142857142857
V3_qtc_mean,0.17189099041069425,0.0028197357763583464,8.709608591931171e-05,0.0,0.0,0.000931448020375572,0.005731725336910787,0.0036743268213604257,0.0029429146,0.0009303006137213314,0.28011848347143586,0.0031390043555907677,1.369429596828835,0.005846294838012023,5.0,42.0,250.0,220.0,183.5,72.0,42.0,34.0,166.0,58.0,118.0,18.0,147.0,159.0,108.17857142857143
aVF_kurtosis,0.028931761572522818,0.0,0.0036283448498117925,0.0011994368100989813,0.0,0.001414969381185222,0.002274725057997941,0.0009624341616530997,0.0028671431,0.0013147232383161974,0.3928518443450266,0.001928047933832053,6.368693293131587,0.00813218602769994,231.0,239.0,81.0,27.0,183.5,32.0,167.0,87.0,182.0,50.0,49.0,27.0,42.0,149.0,110.46428571428571
Crea (1. gaz. 1 TISS),0.01479587935363386,0.0,0.007340661668437097,0.001273237880862692,0.0,0.0,0.004933630844336992,0.0008432268610323427,0.0031015647,0.00023862600561673497,0.396543352470013,0.0005729416085374267,8.74915819817573,0.04660564076863949,292.0,239.0,27.0,25.0,183.5,257.0,62.0,100.0,139.0,80.0,47.0,72.0,30.0,15.0,112.03571428571429
V6_kurtosis,0.12617302332770197,0.005250374031612868,0.010620600224863599,0.001225796271296944,0.0,0.0011348431055254783,0.001241504487491499,0.0,0.0029933644,0.0,0.38610187460919976,0.0009360110221313854,8.305756710311837,0.0,24.0,16.0,15.0,26.0,183.5,56.0,246.0,232.5,152.0,218.5,51.0,58.0,33.0,275.5,113.35714285714286
V1_qtc_mean,0.005644772008915801,0.0,0.009057603374866182,0.0017744260922211614,0.0,0.0004117466772978374,0.007059029882007765,0.002043321237328392,0.0047188564,0.0020469051452457593,0.6212445949898803,0.001744773850564564,0.4685689472825651,0.0,338.0,239.0,21.0,18.0,183.5,120.0,24.0,65.0,11.0,37.0,17.0,30.0,222.0,275.5,114.35714285714286
V4_hrv_rmssd,0.08213498553661085,0.0023934497365595405,0.004327209205502283,0.0007506081369690749,0.0,0.0015311662318143431,0.0024936241325671164,0.0009607847624144021,0.0027255933,0.0,0.3164499653980585,0.0009742795561781439,3.1382689323423927,0.0,85.0,47.0,66.0,41.0,183.5,29.0,151.0,88.0,203.0,218.5,80.0,57.0,80.0,275.5,114.60714285714286
V5_rms,0.031822252661357395,0.0,0.006892626605337702,0.0009466471306936832,0.0,0.0013246074961019022,0.005074290982462522,0.0026841040817230694,0.0037460818,0.0018108481536021459,0.5614454944184987,0.0024951984838748336,0.00047360887659618294,0.0,213.5,239.0,33.0,32.0,183.5,41.0,52.0,52.0,60.0,40.0,21.0,25.0,348.0,275.5,115.39285714285714
aVF_p_duration,0.1378411090734534,0.003144702978166142,0.002247815268170394,0.0001826946103215586,0.0,0.0010768935967518157,0.0019831399790044245,0.0,0.0036242863,0.0,0.3129796489227628,0.0,3.376375557489099,0.036739230641781306,16.0,34.0,141.0,74.0,183.5,60.0,191.0,232.5,72.0,218.5,88.0,226.5,76.0,33.0,117.57142857142857
V6_p_amplitude,0.00912756432425914,0.0,0.0030992340975822237,0.0013796043672051588,0.0,0.0008796774162118379,0.003676482765526847,0.0034944192867410293,0.0032301056,0.00128524368382886,0.5055593863389062,0.004107105839922705,2.9116236332004375,0.0,317.0,239.0,100.0,24.0,183.5,76.0,100.0,39.0,126.0,51.0,31.0,11.0,83.0,275.5,118.28571428571429
V3_qtc_sd,0.09571680501966913,0.0012843546309913685,0.011729031648034896,0.0009693642985386352,0.0,0.0,0.006063756960236337,0.0,0.0031462668,0.0,0.38410407629641957,0.0011906738925789495,0.35298228810578897,0.021207036001231527,63.0,76.0,13.0,31.0,183.5,257.0,37.0,232.5,134.0,218.5,53.0,47.0,235.0,80.0,118.60714285714286
aVR_skewness,0.0578100295683086,0.0011551143258367183,0.004860080727034904,0.0,0.0,0.0005709035471252237,0.005007792269909616,0.005156530412847033,0.0025990775,0.002975942538025407,0.43528058746865067,0.0020031726166045865,0.5688671211532629,0.0,148.0,84.0,57.0,220.0,183.5,103.0,54.0,23.0,222.0,27.0,40.0,26.0,207.0,275.5,119.28571428571429
V1_kurtosis,0.08137963062397048,0.0017841082592179973,0.002445286451435878,0.0,0.0,0.0,0.001797575791429092,0.0,0.0040074466,0.0007344667250675272,0.506829151969129,0.001153637580633802,8.803582635937289,0.013990801205868486,86.0,66.0,131.0,220.0,183.5,257.0,206.0,232.5,39.0,63.0,29.0,49.0,29.0,112.0,121.64285714285714
V5_r_amplitude,0.030281705756160886,0.0,0.0020212872711984717,0.00042347113538365207,0.0,0.0,0.003058231714032105,0.0026392032021216676,0.0035942558,0.002216040384424957,0.48863487231847935,0.001920417746571967,0.6267536242729638,0.03430337354100166,225.0,239.0,153.0,60.0,183.5,257.0,119.0,53.0,76.0,33.0,32.0,28.0,203.0,43.0,121.75
V5_std,0.031822252661357395,0.0,0.0033835203652561536,0.00103186995297628,0.0,0.0005074660193013479,0.00597330789036897,0.00351108394778033,0.0035887023,0.005629745674850857,0.5556054323446968,0.002598004638428775,0.00047360887659618527,0.0,213.5,239.0,92.0,30.0,183.5,107.0,39.0,38.0,78.0,18.0,23.0,24.0,347.0,275.5,121.96428571428571
aVL_st_slope,0.06691296244488393,0.001248579135618831,0.003973299218887436,0.00019353723085224644,0.0,0.0003991876006965665,0.005164159455991002,0.0,0.003574223,0.0,0.36708827060010313,0.0005436091221373128,2.602240331838587,0.0,114.0,79.0,71.0,72.0,183.5,123.0,51.0,232.5,82.0,218.5,59.0,79.0,89.0,275.5,123.5
V4_kurtosis,0.0861242313349146,0.002658558162309327,0.003005314864707662,0.0,0.0,0.0022599985533395825,0.002335957791999531,0.001473437898323293,0.0021073027,0.0018690970200374057,0.22274199094709465,8.641002017277175e-05,3.5972203811477375,0.004212985917079859,81.0,45.0,106.0,220.0,183.5,17.0,159.0,79.0,301.0,39.0,185.0,97.0,71.0,173.0,125.46428571428571
aVL_st_level,0.0553324576375539,0.0002808565973304792,0.00705406055488458,0.0007173223707109289,0.0,0.0,0.0008632513021407829,0.0,0.0029754466,0.0009936068928937344,0.4590825806852554,0.0014634982319014038,3.431232714880117,0.00463988662921877,154.0,121.0,32.0,44.0,183.5,257.0,270.0,232.5,154.0,57.0,36.0,35.0,74.0,170.0,130.0
II_skewness,0.13879209825939984,0.0027512774410107317,0.0028810700188677137,0.00011094330316397855,0.0,0.0009692985128911407,0.0034416725469313464,0.000845577261391485,0.0020169774,0.0,0.2851238369720521,0.0,0.25485071596345205,0.08324504408136146,15.0,44.0,112.0,81.0,183.5,68.0,109.0,99.0,305.0,218.5,109.0,226.5,254.0,1.0,130.39285714285714
V4_hrv_sdnn,0.07364312437546573,0.0029656762616032035,0.003887388050954249,0.0,0.0,0.0014968675812613817,0.0004406605008147262,0.0,0.0044891913,0.0003220536870465749,0.26985221647482205,0.0009354222861455561,2.598437647194461,0.0,96.0,37.0,74.0,220.0,183.5,30.0,303.0,232.5,18.0,79.0,131.0,59.0,90.0,275.5,130.60714285714286
V1_qrs_duration,0.10969702200312027,0.0020682865204085478,0.0032761800367436854,0.0,0.0,0.0003621044968792391,0.0021255414227586028,0.0018278078368199233,0.0020560804,0.0,0.33407281588220433,0.0009792378386835295,1.876952812719071,0.01772548434711063,38.0,57.0,96.0,220.0,183.5,128.0,179.0,74.0,303.0,218.5,70.0,56.0,117.0,94.0,131.0
V4_qrs_duration_var,0.08045951486431875,0.0,0.0028148838725284785,0.0,0.0,0.0,0.0018048200993256327,0.005536292374945299,0.0028910069,0.004418443661578694,0.2889476360637825,0.00307989658130775,1.8685130756859638,0.01695513308181562,87.0,239.0,116.0,220.0,183.5,257.0,205.0,17.0,176.0,21.0,104.0,19.0,118.0,99.0,132.96428571428572
K (1. gaz. 1 TISS),0.10221438600852992,0.0,0.0009415677967898653,0.0,0.0,0.0014139379717180408,0.00495703445064076,0.0,0.003273359,0.0015786473757739448,0.37477543540775965,0.0,13.257090257776543,0.005269018857630758,54.0,239.0,219.0,220.0,183.5,33.0,59.0,232.5,117.0,46.0,55.0,226.5,12.0,166.0,133.03571428571428
HCO3 (1. gaz. 1 TISS),0.05254652759804751,0.0,0.004277077891325735,0.0014371837662338223,0.0,0.0,0.002530257184000422,0.0,0.004058363,0.00019269584434518865,0.535954407093542,0.00045818036265033547,1.4655204784637612,0.000696411702517219,160.0,239.0,67.0,22.0,183.5,257.0,149.0,232.5,33.0,82.0,26.0,81.0,140.0,192.0,133.14285714285714
V3_skewness,0.027584055315482758,0.0,0.00019502729735968667,0.0,0.0,0.0012401975925270376,0.005890524719070737,0.0030091083981380615,0.0029016691,0.0012828037295763153,0.45178139020938873,0.0006632950072023862,5.434617963243693,0.0,240.0,239.0,246.0,220.0,183.5,48.0,40.0,47.0,174.0,52.0,37.0,62.0,48.0,275.5,136.57142857142858
II_p_amplitude,0.08759361217356415,0.0,0.0,0.0,0.00021505376344086447,0.0,0.0037110248014573595,0.0018522074684684156,0.0030151915,0.0016018036750797798,0.41146971246353514,0.0008105094533305571,3.423007352997872,0.0,78.0,239.0,305.0,220.0,11.0,257.0,97.0,72.0,147.0,43.0,44.0,60.0,75.0,275.5,137.39285714285714
II_snr_db,0.08719871466318196,0.0008346518984200647,0.00305388840103513,0.00042652680965568005,0.0,0.0,0.0016412260992108097,0.0,0.004076965,0.0,0.20010436506899495,0.000623607407762011,3.4889541643545803,0.014687394848117652,80.0,100.0,104.0,59.0,183.5,257.0,216.0,232.5,32.0,218.5,221.0,68.0,73.0,105.0,139.25
V4_st_slope,0.10876368614455331,0.007960956100544767,0.003299490970139305,0.0,0.0,0.0011648935731340844,0.0017590228687987246,0.0030172368941517374,0.0023506389,0.0,0.21501866649474125,0.0,1.6305152932036346,0.025372783536268484,40.0,6.0,95.0,220.0,183.5,55.0,208.0,45.0,260.0,218.5,198.0,226.5,132.0,69.0,139.75
V5_kurtosis,0.029205684635650403,0.0,0.007452533629308184,6.792964093185337e-05,0.0,0.0,0.0037904134055113457,0.003639386327114649,0.0025745223,0.001612784580943949,0.23153604523602328,0.0,1.9171536482836378,0.03613797364790505,230.0,239.0,26.0,85.0,183.5,257.0,94.0,35.0,228.0,41.0,176.0,226.5,113.0,37.0,140.78571428571428
V1_std,0.018943081638825247,0.0,0.0061113369409858745,0.0,0.0,0.0006502145653309895,0.008372370725470372,0.0051116303232156745,0.002968444,0.002087129136580879,0.5071648869861485,0.0,0.2749670024280972,0.0014379119364416049,274.5,239.0,39.0,220.0,183.5,95.0,16.0,25.0,158.0,35.0,28.0,226.5,250.5,191.0,141.5
V2_st_slope,0.1049642062241079,0.00623406883703957,0.0,0.0,0.0,0.0012919097051143317,0.0038323049710122614,0.0,0.0041552475,0.0,0.2692386355237769,0.0,2.3146800767739224,0.005937248681951557,46.0,10.0,305.0,220.0,183.5,44.0,93.0,232.5,27.0,218.5,132.0,226.5,100.0,158.0,142.57142857142858
V5_signal_complexity,0.09454758462610567,0.002148718904803139,0.0018098801911980483,0.0,0.0,0.0,0.0018300154058098592,0.0,0.0046185753,0.0,0.36288177817305334,0.0014282931036315176,1.85436616996033,0.004836895657516882,65.0,55.0,170.0,220.0,183.5,257.0,204.0,232.5,13.0,218.5,61.0,36.0,120.0,167.0,143.03571428571428
II_kurtosis,0.022499382956192446,0.0,0.006395729842086212,0.001486803845725492,0.0,0.0020568318050688842,0.005356518669488817,0.0,0.0029600926,0.0008203601217253995,0.21529299477600355,0.0,4.9612111391034865,0.0,261.0,239.0,36.0,21.0,183.5,21.0,48.0,232.5,161.0,60.0,196.0,226.5,55.0,275.5,144.0
Cl (1. gaz. 1 TISS),0.03880134159685066,0.0005565525510016368,0.006188136871913339,0.0,0.0,0.0,0.003310029874767541,0.002754317517817505,0.002510045,0.0,0.2748097050172446,0.0014756404982985045,0.9926697573406646,0.025366642145052243,192.0,113.0,38.0,220.0,183.5,257.0,112.0,51.0,236.0,218.5,127.0,34.0,173.0,70.0,144.64285714285714
aVL_p_duration,0.03554100734571374,0.0,0.005463282341540012,0.0008754727624671727,0.0,0.0008083268329073509,0.006038966875748157,0.0,0.00365322,0.0,0.2782349847577499,0.0011973670820907382,0.243009703961975,0.0,201.0,239.0,49.0,34.0,183.5,80.0,38.0,232.5,67.0,218.5,123.0,46.0,258.0,275.5,146.07142857142858
I_skewness,0.008182783043156557,0.0,0.00786958945081296,0.0006191260625388798,0.0,0.0002728057211051915,0.00491727882826464,0.0034286119196381176,0.0028513244,0.0,0.5180363216761458,0.0009919292764715485,0.5074145659845014,0.0,323.0,239.0,24.0,49.0,183.5,147.0,64.0,40.0,186.0,218.5,27.0,54.0,216.0,275.5,146.17857142857142
